farmer_id,state,crop,farm_size_hectares,yield_tons,fertilizer_used,irrigation,rainfall_mm,market_price,production_cost,revenue,profit,harvest_date
F0001,Kaduna,Maize,2.5,4.2,NPK,No,850,30000,75000,126000,51000,2025-10-15
F0002,Kano,Rice,3.0,5.1,Urea,Yes,920,35000,95000,178500,83500,2025-11-20
F0003,Oyo,Cassava,4.0,6.8,Compost,No,1100,20000,60000,136000,76000,2025-09-30
F0004,Katsina,Sorghum,1.8,2.9,NPK,No,780,22000,42000,63800,21800,2025-10-05
F0005,Benue,Yam,2.2,3.5,Organic,No,950,45000,80000,157500,77500,2025-11-10
F0006,Niger,Maize,3.1,5.0,NPK,Yes,870,30000,88000,150000,62000,2025-10-20
F0007,Sokoto,Groundnut,2.8,3.2,None,No,690,40000,65000,128000,63000,2025-09-15
F0008,Anambra,Rice,1.5,2.8,Urea,Yes,1050,35000,52500,98000,45500,2025-11-25
F0009,Plateau,Soybean,3.5,4.6,Phosphate,No,1150,38000,90000,174800,84800,2025-10-30
F0010,Kebbi,Maize,2.0,3.8,NPK,Yes,800,30000,68000,114000,46000,2025-10-10
F0011,Kaduna,Rice,2.7,4.9,Urea,Yes,880,35000,87000,171500,84500,2025-11-15
F0012,Kano,Sorghum,3.3,4.1,NPK,No,750,22000,70000,90200,20200,2025-09-20
F0013,Ogun,Cassava,5.0,8.2,Compost,No,1200,20000,78000,164000,86000,2025-09-05
F0014,Osun,Yam,1.9,2.6,Organic,No,1000,45000,68000,117000,49000,2025-10-25
F0015,Borno,Groundnut,4.2,5.5,None,No,620,40000,95000,220000,125000,2025-09-28
F0016,Taraba,Maize,2.3,3.6,NPK,No,960,30000,72000,108000,36000,2025-10-12
F0017,Zamfara,Soybean,2.6,3.9,Phosphate,No,820,38000,76000,148200,72200,2025-10-18
F0018,Imo,Rice,1.2,2.1,Urea,Yes,1080,35000,44000,73500,29500,2025-11-22
F0019,Kogi,Yam,3.0,4.4,Organic,Yes,1020,45000,95000,198000,103000,2025-10-08
F0020,Kwara,Cassava,4.5,7.5,Compost,No,1150,20000,70000,150000,80000,2025-09-12
F0021,Bauchi,Groundnut,3.7,4.8,None,No,710,40000,82000,192000,110000,2025-09-25
F0022,Gombe,Sorghum,2.1,3.0,NPK,No,760,22000,52000,66000,14000,2025-10-03
F0023,Nasarawa,Maize,2.8,4.5,NPK,Yes,890,30000,85000,135000,50000,2025-10-28
F0024,Jigawa,Rice,3.6,6.2,Urea,Yes,840,35000,108000,217000,109000,2025-11-08
F0025,Rivers,Cassava,3.2,5.6,Compost,No,1300,20000,65000,112000,47000,2025-09-18
F0026,Delta,Yam,2.5,3.8,Organic,No,1100,45000,90000,171000,81000,2025-10-22
F0027,Edo,Soybean,1.8,2.7,Phosphate,No,1050,38000,58000,102600,44600,2025-10-14
F0028,Cross River,Groundnut,4.0,5.2,None,Yes,1400,40000,88000,208000,120000,2025-09-22
F0029,Akwa Ibom,Rice,2.0,3.4,Urea,Yes,1250,35000,72000,119000,47000,2025-11-05
F0030,Adamawa,Maize,3.4,5.3,NPK,Yes,920,30000,98000,159000,61000,2025-10-16
